REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2018/02/01 00:30:00,6776.69,67.43,TRADE
NSW1,2018/02/01 01:00:00,6640.35,59.04,TRADE
NSW1,2018/02/01 01:30:00,6388.71,58.22,TRADE
NSW1,2018/02/01 02:00:00,6182.54,52.54,TRADE
NSW1,2018/02/01 02:30:00,6029.49,57.73,TRADE
NSW1,2018/02/01 03:00:00,6018.82,61.20,TRADE
NSW1,2018/02/01 03:30:00,6019.23,64.62,TRADE
NSW1,2018/02/01 04:00:00,6117.77,59.78,TRADE
NSW1,2018/02/01 04:30:00,6361.33,59.01,TRADE
NSW1,2018/02/01 05:00:00,6576.6,60.12,TRADE
NSW1,2018/02/01 05:30:00,7047,67.02,TRADE
NSW1,2018/02/01 06:00:00,7469.65,79.86,TRADE
NSW1,2018/02/01 06:30:00,7815.45,81.51,TRADE
NSW1,2018/02/01 07:00:00,8042.03,87.45,TRADE
NSW1,2018/02/01 07:30:00,8097.1,75.45,TRADE
NSW1,2018/02/01 08:00:00,8038.8,66.83,TRADE
NSW1,2018/02/01 08:30:00,8025.69,66.19,TRADE
NSW1,2018/02/01 09:00:00,8024.18,64.45,TRADE
NSW1,2018/02/01 09:30:00,8027.75,64.35,TRADE
NSW1,2018/02/01 10:00:00,8097.23,67.64,TRADE
NSW1,2018/02/01 10:30:00,8110.54,64.93,TRADE
NSW1,2018/02/01 11:00:00,8014.38,63.74,TRADE
NSW1,2018/02/01 11:30:00,8000.44,67.64,TRADE
NSW1,2018/02/01 12:00:00,7965.33,66.21,TRADE
NSW1,2018/02/01 12:30:00,7980.11,61.17,TRADE
NSW1,2018/02/01 13:00:00,7914.75,62.94,TRADE
NSW1,2018/02/01 13:30:00,7974.4,67.75,TRADE
NSW1,2018/02/01 14:00:00,7982.96,66.85,TRADE
NSW1,2018/02/01 14:30:00,8028.03,61.73,TRADE
NSW1,2018/02/01 15:00:00,7966.93,63.45,TRADE
NSW1,2018/02/01 15:30:00,8083.85,65.04,TRADE
NSW1,2018/02/01 16:00:00,8101.84,61.09,TRADE
NSW1,2018/02/01 16:30:00,8156.98,63.10,TRADE
NSW1,2018/02/01 17:00:00,8208.3,65.23,TRADE
NSW1,2018/02/01 17:30:00,8202.52,77.55,TRADE
NSW1,2018/02/01 18:00:00,8153.47,81.78,TRADE
NSW1,2018/02/01 18:30:00,8037.8,80.30,TRADE
NSW1,2018/02/01 19:00:00,7960.33,84.12,TRADE
NSW1,2018/02/01 19:30:00,8002.78,86.60,TRADE
NSW1,2018/02/01 20:00:00,8034.71,86.44,TRADE
NSW1,2018/02/01 20:30:00,7884.57,71.36,TRADE
NSW1,2018/02/01 21:00:00,7642.49,61.87,TRADE
NSW1,2018/02/01 21:30:00,7624.46,56.52,TRADE
NSW1,2018/02/01 22:00:00,7479.92,55.98,TRADE
NSW1,2018/02/01 22:30:00,7491.55,64.48,TRADE
NSW1,2018/02/01 23:00:00,7404.11,61.28,TRADE
NSW1,2018/02/01 23:30:00,7275.23,55.30,TRADE
NSW1,2018/02/02 00:00:00,7120.77,53.71,TRADE
NSW1,2018/02/02 00:30:00,6997.5,55.15,TRADE
NSW1,2018/02/02 01:00:00,6790.73,53.93,TRADE
NSW1,2018/02/02 01:30:00,6465.78,44.73,TRADE
NSW1,2018/02/02 02:00:00,6268.1,41.92,TRADE
NSW1,2018/02/02 02:30:00,6110.09,57.41,TRADE
NSW1,2018/02/02 03:00:00,6091.37,65.05,TRADE
NSW1,2018/02/02 03:30:00,6112.41,60.91,TRADE
NSW1,2018/02/02 04:00:00,6158.97,56.30,TRADE
NSW1,2018/02/02 04:30:00,6354.83,62.33,TRADE
NSW1,2018/02/02 05:00:00,6596.92,64.50,TRADE
NSW1,2018/02/02 05:30:00,7032.26,66.97,TRADE
NSW1,2018/02/02 06:00:00,7465.13,83.85,TRADE
NSW1,2018/02/02 06:30:00,7772.76,79.63,TRADE
NSW1,2018/02/02 07:00:00,8009.04,90.23,TRADE
NSW1,2018/02/02 07:30:00,8101.36,81.19,TRADE
NSW1,2018/02/02 08:00:00,8157.11,84.84,TRADE
NSW1,2018/02/02 08:30:00,8173.88,81.12,TRADE
NSW1,2018/02/02 09:00:00,8244.5,84.55,TRADE
NSW1,2018/02/02 09:30:00,8220.12,77.69,TRADE
NSW1,2018/02/02 10:00:00,8218.32,76.86,TRADE
NSW1,2018/02/02 10:30:00,8177.86,75.17,TRADE
NSW1,2018/02/02 11:00:00,8187.64,77.82,TRADE
NSW1,2018/02/02 11:30:00,8069.88,72.82,TRADE
NSW1,2018/02/02 12:00:00,8075.83,71.62,TRADE
NSW1,2018/02/02 12:30:00,8066.6,70.14,TRADE
NSW1,2018/02/02 13:00:00,8046.36,80.06,TRADE
NSW1,2018/02/02 13:30:00,7973.81,76.67,TRADE
NSW1,2018/02/02 14:00:00,8037.91,81.85,TRADE
NSW1,2018/02/02 14:30:00,7988.67,70.20,TRADE
NSW1,2018/02/02 15:00:00,8026.58,69.04,TRADE
NSW1,2018/02/02 15:30:00,8036.88,64.07,TRADE
NSW1,2018/02/02 16:00:00,8075.68,69.18,TRADE
NSW1,2018/02/02 16:30:00,8039.9,64.14,TRADE
NSW1,2018/02/02 17:00:00,8097.09,64.58,TRADE
NSW1,2018/02/02 17:30:00,7944.94,65.10,TRADE
NSW1,2018/02/02 18:00:00,7887.85,62.56,TRADE
NSW1,2018/02/02 18:30:00,7766.28,56.87,TRADE
NSW1,2018/02/02 19:00:00,7684.49,61.30,TRADE
NSW1,2018/02/02 19:30:00,7825.25,66.87,TRADE
NSW1,2018/02/02 20:00:00,7824.33,66.71,TRADE
NSW1,2018/02/02 20:30:00,7742.47,62.81,TRADE
NSW1,2018/02/02 21:00:00,7565.21,58.76,TRADE
NSW1,2018/02/02 21:30:00,7561.15,65.04,TRADE
NSW1,2018/02/02 22:00:00,7462.26,59.55,TRADE
NSW1,2018/02/02 22:30:00,7516.97,62.29,TRADE
NSW1,2018/02/02 23:00:00,7446.22,64.29,TRADE
NSW1,2018/02/02 23:30:00,7217.32,66.11,TRADE
NSW1,2018/02/03 00:00:00,7141.39,58.93,TRADE
NSW1,2018/02/03 00:30:00,6925.05,53.65,TRADE
NSW1,2018/02/03 01:00:00,6752.14,47.41,TRADE
NSW1,2018/02/03 01:30:00,6442.66,55.07,TRADE
NSW1,2018/02/03 02:00:00,6198.07,56.90,TRADE
NSW1,2018/02/03 02:30:00,6020.16,51.92,TRADE
NSW1,2018/02/03 03:00:00,5961.21,55.65,TRADE
NSW1,2018/02/03 03:30:00,5969.76,53.27,TRADE
NSW1,2018/02/03 04:00:00,5957.61,54.98,TRADE
NSW1,2018/02/03 04:30:00,6063.19,55.18,TRADE
NSW1,2018/02/03 05:00:00,6159.74,59.08,TRADE
NSW1,2018/02/03 05:30:00,6362.47,58.50,TRADE
NSW1,2018/02/03 06:00:00,6453.39,61.77,TRADE
NSW1,2018/02/03 06:30:00,6711.06,58.92,TRADE
NSW1,2018/02/03 07:00:00,6918.05,57.97,TRADE
NSW1,2018/02/03 07:30:00,7127.89,57.70,TRADE
NSW1,2018/02/03 08:00:00,7316.05,62.22,TRADE
NSW1,2018/02/03 08:30:00,7526.27,64.44,TRADE
NSW1,2018/02/03 09:00:00,7522.74,64.02,TRADE
NSW1,2018/02/03 09:30:00,7543.44,64.10,TRADE
NSW1,2018/02/03 10:00:00,7495.51,62.81,TRADE
NSW1,2018/02/03 10:30:00,7417.93,61.25,TRADE
NSW1,2018/02/03 11:00:00,7383.39,62.81,TRADE
NSW1,2018/02/03 11:30:00,7258.9,56,TRADE
NSW1,2018/02/03 12:00:00,7201.2,58.22,TRADE
NSW1,2018/02/03 12:30:00,7119.25,56.38,TRADE
NSW1,2018/02/03 13:00:00,7027.41,56.09,TRADE
NSW1,2018/02/03 13:30:00,7024.38,60.37,TRADE
NSW1,2018/02/03 14:00:00,6984.79,57.85,TRADE
NSW1,2018/02/03 14:30:00,7026.14,58.02,TRADE
NSW1,2018/02/03 15:00:00,7110.63,59.09,TRADE
NSW1,2018/02/03 15:30:00,7151.75,58.78,TRADE
NSW1,2018/02/03 16:00:00,7293.66,60.78,TRADE
NSW1,2018/02/03 16:30:00,7277.19,59.31,TRADE
NSW1,2018/02/03 17:00:00,7378.31,59.62,TRADE
NSW1,2018/02/03 17:30:00,7483.16,66.26,TRADE
NSW1,2018/02/03 18:00:00,7489.86,66.47,TRADE
NSW1,2018/02/03 18:30:00,7526.98,74.54,TRADE
NSW1,2018/02/03 19:00:00,7525.26,76.11,TRADE
NSW1,2018/02/03 19:30:00,7571.4,72.39,TRADE
NSW1,2018/02/03 20:00:00,7576.35,65.22,TRADE
NSW1,2018/02/03 20:30:00,7492.44,61.96,TRADE
NSW1,2018/02/03 21:00:00,7382.16,56.81,TRADE
NSW1,2018/02/03 21:30:00,7326.95,55.91,TRADE
NSW1,2018/02/03 22:00:00,7264.49,54.90,TRADE
NSW1,2018/02/03 22:30:00,7175.73,68.66,TRADE
NSW1,2018/02/03 23:00:00,7048.77,69.81,TRADE
NSW1,2018/02/03 23:30:00,6840.12,56.58,TRADE
NSW1,2018/02/04 00:00:00,6685.03,58.93,TRADE
NSW1,2018/02/04 00:30:00,6580.37,55.42,TRADE
NSW1,2018/02/04 01:00:00,6454.53,57.77,TRADE
NSW1,2018/02/04 01:30:00,6162.56,67.19,TRADE
NSW1,2018/02/04 02:00:00,5980.8,60.13,TRADE
NSW1,2018/02/04 02:30:00,5915.54,61.01,TRADE
NSW1,2018/02/04 03:00:00,5836.85,76.26,TRADE
NSW1,2018/02/04 03:30:00,5809.27,75.13,TRADE
NSW1,2018/02/04 04:00:00,5842.7,76.14,TRADE
NSW1,2018/02/04 04:30:00,5890.43,76.98,TRADE
NSW1,2018/02/04 05:00:00,5953.8,81.08,TRADE
NSW1,2018/02/04 05:30:00,6061.32,86.77,TRADE
NSW1,2018/02/04 06:00:00,6152.6,70.42,TRADE
NSW1,2018/02/04 06:30:00,6293.06,55.42,TRADE
NSW1,2018/02/04 07:00:00,6474.55,56.34,TRADE
NSW1,2018/02/04 07:30:00,6710.37,67.95,TRADE
NSW1,2018/02/04 08:00:00,6921.75,68.14,TRADE
NSW1,2018/02/04 08:30:00,7073.88,55.52,TRADE
NSW1,2018/02/04 09:00:00,7114.64,56.30,TRADE
NSW1,2018/02/04 09:30:00,7144.81,56.28,TRADE
NSW1,2018/02/04 10:00:00,7106.12,56.82,TRADE
NSW1,2018/02/04 10:30:00,7125.12,56.85,TRADE
NSW1,2018/02/04 11:00:00,7075.43,55.89,TRADE
NSW1,2018/02/04 11:30:00,7019.18,55.59,TRADE
NSW1,2018/02/04 12:00:00,7028.13,55.95,TRADE
NSW1,2018/02/04 12:30:00,6997.25,56.11,TRADE
NSW1,2018/02/04 13:00:00,7020.87,56.93,TRADE
NSW1,2018/02/04 13:30:00,6931.65,58.38,TRADE
NSW1,2018/02/04 14:00:00,6957.38,55.68,TRADE
NSW1,2018/02/04 14:30:00,7062.88,58.49,TRADE
