REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2019/07/01 00:30:00,7951.59,59.56,TRADE
NSW1,2019/07/01 01:00:00,7676.06,53.55,TRADE
NSW1,2019/07/01 01:30:00,7489.95,52.33,TRADE
NSW1,2019/07/01 02:00:00,7283.36,51.59,TRADE
NSW1,2019/07/01 02:30:00,7036.8,45.79,TRADE
NSW1,2019/07/01 03:00:00,6846.56,50.42,TRADE
NSW1,2019/07/01 03:30:00,6752.22,51.99,TRADE
NSW1,2019/07/01 04:00:00,6733.84,57.96,TRADE
NSW1,2019/07/01 04:30:00,6870.23,50.27,TRADE
NSW1,2019/07/01 05:00:00,6970.38,51.20,TRADE
NSW1,2019/07/01 05:30:00,7432.76,57.05,TRADE
NSW1,2019/07/01 06:00:00,7928.47,39.87,TRADE
NSW1,2019/07/01 06:30:00,8802.68,64.84,TRADE
NSW1,2019/07/01 07:00:00,9671.54,93.79,TRADE
NSW1,2019/07/01 07:30:00,10268.94,94.15,TRADE
NSW1,2019/07/01 08:00:00,10674.81,101.16,TRADE
NSW1,2019/07/01 08:30:00,10590.81,94.45,TRADE
NSW1,2019/07/01 09:00:00,10279.41,79.86,TRADE
NSW1,2019/07/01 09:30:00,10111,76.55,TRADE
NSW1,2019/07/01 10:00:00,9817.67,69.19,TRADE
NSW1,2019/07/01 10:30:00,9579.62,69.52,TRADE
NSW1,2019/07/01 11:00:00,9207.04,63.88,TRADE
NSW1,2019/07/01 11:30:00,8877.8,55.99,TRADE
NSW1,2019/07/01 12:00:00,8605.55,57.42,TRADE
NSW1,2019/07/01 12:30:00,8446.61,57.94,TRADE
NSW1,2019/07/01 13:00:00,8314.31,57.82,TRADE
NSW1,2019/07/01 13:30:00,8245.36,57.46,TRADE
NSW1,2019/07/01 14:00:00,8266.86,58.02,TRADE
NSW1,2019/07/01 14:30:00,8340.7,59,TRADE
NSW1,2019/07/01 15:00:00,8497.89,64.19,TRADE
NSW1,2019/07/01 15:30:00,8809.47,69.10,TRADE
NSW1,2019/07/01 16:00:00,9076.39,70.71,TRADE
NSW1,2019/07/01 16:30:00,9375.49,74.26,TRADE
NSW1,2019/07/01 17:00:00,10004.83,84.77,TRADE
NSW1,2019/07/01 17:30:00,10793.18,98.15,TRADE
NSW1,2019/07/01 18:00:00,11359.64,107.11,TRADE
NSW1,2019/07/01 18:30:00,11379.76,101.77,TRADE
NSW1,2019/07/01 19:00:00,11305.74,99.80,TRADE
NSW1,2019/07/01 19:30:00,11067.46,92.69,TRADE
NSW1,2019/07/01 20:00:00,10823.51,93.26,TRADE
NSW1,2019/07/01 20:30:00,10599.53,84.27,TRADE
NSW1,2019/07/01 21:00:00,10335.51,81.96,TRADE
NSW1,2019/07/01 21:30:00,9991.71,72.04,TRADE
